fecha,heladas_friaje,inundaciones_huaicos,lluvias_intensas,deslizamientos,sequias,granizadas,el_nino_variabilidad,cambio_climatico,impacto_agricola,impacto_ganadero,seguridad_alimentaria,emergencias_institucional,total
2017-01,22,127,14,40,16,2,0,11,0,0,8,40,914
2017-02,7,53,18,38,9,1,10,69,1,0,5,23,767
2017-03,18,288,33,134,14,1,105,43,5,0,12,127,1784
2017-04,48,114,19,149,28,1,62,51,1,0,5,137,1698
2017-05,139,42,5,38,7,0,10,11,2,0,3,31,1000
2017-06,84,20,5,33,10,2,14,17,0,0,1,31,1193
2017-07,27,14,7,19,11,0,23,41,1,0,5,26,993
2017-08,19,9,3,18,19,1,8,45,1,0,4,18,1062
2017-09,10,10,5,14,4,1,20,28,0,0,5,7,1238
2017-10,5,8,11,11,16,0,9,29,0,0,11,12,977
2017-11,2,39,16,18,22,6,13,64,1,0,5,26,1084
2017-12,14,8,9,19,6,3,17,31,0,0,5,5,674
2018-01,22,21,11,16,10,4,15,12,13,0,5,18,945
2018-02,5,20,16,18,4,0,26,5,2,0,5,14,847
2018-03,12,15,3,67,12,2,0,36,0,1,2,24,1069
2018-04,43,1,8,33,12,0,8,57,0,0,2,14,899
2018-05,26,9,8,28,2,0,0,20,0,0,7,12,938
2018-06,144,4,3,11,8,0,1,9,1,0,23,31,1119
2018-07,95,2,2,14,7,1,3,6,1,2,1,11,626
2018-08,47,9,2,14,5,0,3,18,0,0,3,32,1123
2018-09,34,13,2,4,5,3,15,32,2,0,11,12,880
2018-10,9,21,6,10,6,3,6,20,4,0,5,18,826
2018-11,4,20,6,13,5,2,7,10,0,0,15,13,743
2018-12,13,13,5,5,4,0,18,32,1,0,0,21,683
2019-01,9,72,9,84,4,6,8,21,0,0,1,19,1031
2019-02,10,220,18,119,8,3,8,28,1,0,1,94,1124
2019-03,19,60,15,22,7,5,3,30,1,1,0,43,912
2019-04,24,17,6,12,4,1,16,15,0,0,39,30,952
2019-05,92,8,4,27,13,1,1,12,0,0,4,18,1053
2019-06,32,1,2,21,8,0,0,21,3,0,4,15,766
2019-07,29,10,4,15,7,0,1,9,1,0,2,48,1077
2019-08,17,1,2,20,17,0,10,45,7,0,0,5,1115
2019-09,6,2,1,14,2,2,3,39,4,0,3,27,784
2019-10,4,5,4,20,13,3,4,12,0,0,4,6,800
2019-11,7,4,2,9,12,2,2,18,0,0,6,1,714
2019-12,2,20,7,20,0,0,2,55,1,0,2,13,882
2020-01,4,33,14,23,5,5,9,36,2,0,1,17,947
2020-02,13,83,10,61,3,2,0,13,0,0,0,36,875
2020-03,4,4,1,41,10,1,1,9,1,0,1,112,948
2020-04,0,7,0,27,0,0,3,13,1,0,6,51,910
2020-05,15,0,1,28,5,1,0,12,0,0,10,29,884
2020-06,3,5,5,28,2,0,1,8,3,0,41,25,995
2020-07,10,2,0,31,6,0,0,27,2,0,9,7,913
2020-08,10,2,3,73,2,0,3,8,3,0,2,12,769
2020-09,8,1,2,11,7,0,1,35,2,0,0,12,499
2020-10,2,0,0,4,2,4,0,2,1,0,5,3,269
2020-11,4,2,1,21,11,0,0,2,1,0,6,5,497
2020-12,5,14,2,32,7,6,8,6,2,0,5,12,1025
2021-01,15,20,2,25,4,1,4,10,0,0,7,15,818
2021-02,12,46,3,26,1,2,3,16,1,0,14,24,850
2021-03,14,29,1,21,3,2,1,13,1,0,4,26,893
